Project_ID,System_ID_Code,Internal_Batch_Serial,Full_Location_Code
LEG-2026-001,SOL-450W-RES,SN:2026-X99-A1,Rizal_OldAlbay_450
LEG-2026-002,SOL-550W-COM,SN:2026-B12-B2,Taysan_Legazpi_550
LEG-2026-003,SOL-300W-RES,SN:2026-X44-A1,Cabangan_Legazpi_300
LEG-2026-004,SOL-450W-RES,SN:2026-X99-A1,Rawis_Legazpi_450
LEG-2026-005,SOL-1KW-COM,SN:2026-Z01-C3,Ilawod_Legazpi_1000
LEG-2026-006,SOL-450W-RES,SN:2026-X99-A1,Sagpon_Legazpi_450
LEG-2026-007,SOL-5KW-IND,SN:2026-W88-D4,AlbayDist_Legazpi_5000
LEG-2026-008,SOL-300W-RES,SN:2026-X44-A1,Bitano_Legazpi_300
LEG-2026-009,SOL-10KW-IND,SN:2026-P00-E5,Rizal_Legazpi_10000
LEG-2026-010,SOL-450W-RES,SN:2026-X99-A1,Maroroy_Daraga_450
LEG-2026-011,SOL-550W-COM,SN:2026-B12-B2,Washington_Legazpi_550
LEG-2026-012,SOL-300W-RES,SN:2026-X44-A1,Empire_Legazpi_300
LEG-2026-013,SOL-1KW-COM,SN:2026-Z01-C3,Tahao_Legazpi_1000
LEG-2026-014,SOL-450W-RES,SN:2026-X99-A1,Cruzada_Legazpi_450
LEG-2026-015,SOL-5KW-IND,SN:2026-W88-D4,Rizal_Legazpi_5000
LEG-2026-016,SOL-300W-RES,SN:2026-X44-A1,Arimbay_Legazpi_300
LEG-2026-017,SOL-10KW-IND,SN:2026-P00-E5,Lakandula_Legazpi_10000
LEG-2026-018,SOL-450W-RES,SN:2026-X99-A1,Binanuahan_Legazpi_450
LEG-2026-019,SOL-550W-COM,SN:2026-B12-B2,SanRoque_Legazpi_550
LEG-2026-020,SOL-300W-RES,SN:2026-X44-A1,Imperial_Legazpi_300
LEG-2026-021,SOL-1KW-COM,SN:2026-Z01-C3,Buyuan_Legazpi_1000
LEG-2026-022,SOL-450W-RES,SN:2026-X99-A1,Padang_Legazpi_450
LEG-2026-023,SOL-5KW-IND,SN:2026-W88-D4,EmsBarrio_Legazpi_5000
LEG-2026-024,SOL-300W-RES,SN:2026-X44-A1,Penaranda_Legazpi_300
LEG-2026-025,SOL-10KW-IND,SN:2026-P00-E5,DonaMaria_Legazpi_10000
LEG-2026-026,SOL-450W-RES,SN:2026-X99-A1,Rizal_Legazpi_450
LEG-2026-027,SOL-550W-COM,SN:2026-B12-B2,Mabinit_Legazpi_550
LEG-2026-028,SOL-300W-RES,SN:2026-X44-A1,Taytay_Legazpi_300
LEG-2026-029,SOL-1KW-COM,SN:2026-Z01-C3,Bgy59_Legazpi_1000
LEG-2026-030,SOL-450W-RES,SN:2026-X99-A1,Landco_Legazpi_450
LEG-2026-031,SOL-5KW-IND,SN:2026-W88-D4,BagongAbre_Legazpi_5000
LEG-2026-032,SOL-300W-RES,SN:2026-X44-A1,OroSite_Legazpi_300
LEG-2026-033,SOL-10KW-IND,SN:2026-P00-E5,Gogon_Legazpi_10000
LEG-2026-034,SOL-450W-RES,SN:2026-X99-A1,Washington_Legazpi_450
LEG-2026-035,SOL-550W-COM,SN:2026-B12-B2,KawitEast_Legazpi_550
LEG-2026-036,SOL-300W-RES,SN:2026-X44-A1,Dapdap_Legazpi_300
LEG-2026-037,SOL-1KW-COM,SN:2026-Z01-C3,Ilawod_Legazpi_1000
LEG-2026-038,SOL-450W-RES,SN:2026-X99-A1,Homapon_Legazpi_450
LEG-2026-039,SOL-5KW-IND,SN:2026-W88-D4,Pinaric_Legazpi_5000
LEG-2026-040,SOL-300W-RES,SN:2026-X44-A1,Banquerohan_Legazpi_300
LEG-2026-041,SOL-10KW-IND,SN:2026-P00-E5,Maoyod_Legazpi_10000
LEG-2026-042,SOL-450W-RES,SN:2026-X99-A1,Imperial_Legazpi_450
LEG-2026-043,SOL-550W-COM,SN:2026-B12-B2,Bariis_Legazpi_550
LEG-2026-044,SOL-300W-RES,SN:2026-X44-A1,Banadero_Legazpi_300
LEG-2026-045,SOL-1KW-COM,SN:2026-Z01-C3,Maslog_Legazpi_1000
LEG-2026-046,SOL-450W-RES,SN:2026-X99-A1,Cabangan_Legazpi_450
LEG-2026-047,SOL-5KW-IND,SN:2026-W88-D4,Bogtong_Legazpi_5000
LEG-2026-048,SOL-300W-RES,SN:2026-X44-A1,EmsBarrio_Legazpi_300
LEG-2026-049,SOL-10KW-IND,SN:2026-P00-E5,Bagacay_Legazpi_10000
LEG-2026-050,SOL-450W-RES,SN:2026-X99-A1,Bagumbayan_Legazpi_450
